Wed Oct 19 21:41:57 2025,690000
Wed Oct 19 21:42:13 2025,690000
Wed Oct 19 22:13:39 2025,6900000
Wed Oct 19 22:16:09 2025,900000
Wed Oct 19 22:52:39 2025,150000
Wed Oct 19 22:52:39 2025,10000
Wed Oct 19 22:55:32 2025,150000
Wed Oct 19 22:55:32 2025,150000
Thu Oct 20 09:01:15 2025,175000
Thu Oct 20 09:01:15 2025,175000
Thu Oct 20 09:04:48 2025,370000
Thu Oct 20 09:04:48 2025,30000
Thu Oct 20 10:04:11 2025,0
Thu Oct 20 10:04:11 2025,0
Thu Oct 20 10:20:03 2025,140000
Thu Oct 20 10:20:03 2025,140000
Thu Oct 20 10:21:27 2025,105000
Thu Oct 20 10:21:27 2025,105000
